------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:47, Time:0ms, TrainError:0.21934405, TrainErrorChange:-0.00411506, TrainAccuracy: 0.95714283
Epoch:48, Time:1ms, TrainError:0.21536414, TrainErrorChange:-0.0039799064, TrainAccuracy: 0.95714283
Epoch:49, Time:0ms, TrainError:0.21151468, TrainErrorChange:-0.0038494617, TrainAccuracy: 0.95714283
Epoch:50, Time:0ms, TrainError:0.20779112, TrainErrorChange:-0.0037235618, TrainAccuracy: 0.947619
Epoch:51, Time:0ms, TrainError:0.20418896, TrainErrorChange:-0.003602162, TrainAccuracy: 0.947619
Epoch:52, Time:0ms, TrainError:0.20070378, TrainErrorChange:-0.003485173, TrainAccuracy: 0.947619
Epoch:53, Time:0ms, TrainError:0.19733152, TrainErrorChange:-0.003372267, TrainAccuracy: 0.947619
Epoch:54, Time:0ms, TrainError:0.19406772, TrainErrorChange:-0.0032638013, TrainAccuracy: 0.947619
Epoch:55, Time:1ms, TrainError:0.19090858, TrainErrorChange:-0.0031591356, TrainAccuracy: 0.93694574
Epoch:56, Time:0ms, TrainError:0.18785006, TrainErrorChange:-0.003058523, TrainAccuracy: 0.93694574
Epoch:57, Time:0ms, TrainError:0.18488835, TrainErrorChange:-0.00296171, TrainAccuracy: 0.9459093
Epoch:58, Time:0ms, TrainError:0.18201992, TrainErrorChange:-0.0028684288, TrainAccuracy: 0.9459093
Epoch:59, Time:0ms, TrainError:0.17924112, TrainErrorChange:-0.0027787983, TrainAccuracy: 0.9459093
Epoch:60, Time:1ms, TrainError:0.17654853, TrainErrorChange:-0.0026925951, TrainAccuracy: 0.9459093
Epoch:61, Time:0ms, TrainError:0.17393894, TrainErrorChange:-0.0026095808, TrainAccuracy: 0.95740366
Epoch:62, Time:0ms, TrainError:0.17140919, TrainErrorChange:-0.0025297552, TrainAccuracy: 0.95740366
Epoch:63, Time:0ms, TrainError:0.1689561, TrainErrorChange:-0.0024530888, TrainAccuracy: 0.95740366
Epoch:64, Time:0ms, TrainError:0.16657686, TrainErrorChange:-0.0023792386, TrainAccuracy: 0.95740366
Epoch:65, Time:1ms, TrainError:0.16426869, TrainErrorChange:-0.002308175, TrainAccuracy: 0.95740366
Epoch:66, Time:0ms, TrainError:0.16202883, TrainErrorChange:-0.0022398531, TrainAccuracy: 0.95740366
Epoch:67, Time:1ms, TrainError:0.1598548, TrainErrorChange:-0.0021740347, TrainAccuracy: 0.95740366
Epoch:68, Time:0ms, TrainError:0.15774398, TrainErrorChange:-0.002110824, TrainAccuracy: 0.95740366
