------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:29, Time:1ms, TrainError:0.13028641, TrainErrorChange:-0.0038116276, ValidationError:0.23022714, Accuracy: 0.9111111
Epoch:30, Time:1ms, TrainError:0.12674108, TrainErrorChange:-0.003545329, ValidationError:0.23012327, Accuracy: 0.9111111
Epoch:31, Time:1ms, TrainError:0.12343961, TrainErrorChange:-0.0033014715, ValidationError:0.230071, Accuracy: 0.9111111
Epoch:32, Time:1ms, TrainError:0.120361485, TrainErrorChange:-0.0030781254, ValidationError:0.23006539, Accuracy: 0.9111111
Epoch:33, Time:1ms, TrainError:0.11748843, TrainErrorChange:-0.0028730556, ValidationError:0.23010293, Accuracy: 0.9111111
Epoch:34, Time:1ms, TrainError:0.11480391, TrainErrorChange:-0.0026845187, ValidationError:0.23017974, Accuracy: 0.9111111
Epoch:35, Time:1ms, TrainError:0.11229272, TrainErrorChange:-0.0025111884, ValidationError:0.23029341, Accuracy: 0.9111111
Epoch:36, Time:1ms, TrainError:0.10994129, TrainErrorChange:-0.002351433, ValidationError:0.23044126, Accuracy: 0.9111111
Epoch:37, Time:1ms, TrainError:0.10773722, TrainErrorChange:-0.002204068, ValidationError:0.23062067, Accuracy: 0.9111111
Epoch:38, Time:1ms, TrainError:0.1056691, TrainErrorChange:-0.0020681173, ValidationError:0.23082942, Accuracy: 0.9111111
Epoch:39, Time:1ms, TrainError:0.10372681, TrainErrorChange:-0.0019422919, ValidationError:0.23106463, Accuracy: 0.9111111
Epoch:40, Time:1ms, TrainError:0.10190095, TrainErrorChange:-0.0018258616, ValidationError:0.23132417, Accuracy: 0.9111111
Epoch:41, Time:1ms, TrainError:0.10018291, TrainErrorChange:-0.0017180368, ValidationError:0.23160599, Accuracy: 0.9111111
Epoch:42, Time:0ms, TrainError:0.098564945, TrainErrorChange:-0.0016179681, ValidationError:0.23190756, Accuracy: 0.9111111
Epoch:43, Time:0ms, TrainError:0.09703991, TrainErrorChange:-0.001525037, ValidationError:0.23222694, Accuracy: 0.9111111
Epoch:44, Time:1ms, TrainError:0.09560124, TrainErrorChange:-0.0014386699, ValidationError:0.23256193, Accuracy: 0.9111111
Epoch:45, Time:1ms, TrainError:0.094242804, TrainErrorChange:-0.0013584346, ValidationError:0.23291062, Accuracy: 0.9111111
Epoch:46, Time:1ms, TrainError:0.09295918, TrainErrorChange:-0.0012836233, ValidationError:0.23327081, Accuracy: 0.9111111
Epoch:47, Time:1ms, TrainError:0.09174528, TrainErrorChange:-0.0012139007, ValidationError:0.23364094, Accuracy: 0.9111111
Epoch:48, Time:1ms, TrainError:0.09059628, TrainErrorChange:-0.0011489987, ValidationError:0.23401932, Accuracy: 0.9111111
Epoch:49, Time:1ms, TrainError:0.08950783, TrainErrorChange:-0.0010884479, ValidationError:0.2344043, Accuracy: 0.9111111
Epoch:50, Time:1ms, TrainError:0.08847595, TrainErrorChange:-0.0010318831, ValidationError:0.23479389, Accuracy: 0.9111111
Epoch:51, Time:0ms, TrainError:0.08749684, TrainErrorChange:-9.791106E-4, ValidationError:0.235187, Accuracy: 0.9111111
Epoch:52, Time:1ms, TrainError:0.08656706, TrainErrorChange:-9.297803E-4, ValidationError:0.23558201, Accuracy: 0.9111111
Epoch:53, Time:1ms, TrainError:0.08568342, TrainErrorChange:-8.8363886E-4, ValidationError:0.23597749, Accuracy: 0.9111111
Epoch:54, Time:1ms, TrainError:0.08484284, TrainErrorChange:-8.4058195E-4, ValidationError:0.23637186, Accuracy: 0.9111111
Epoch:55, Time:1ms, TrainError:0.08404251, TrainErrorChange:-8.0032647E-4, ValidationError:0.23676449, Accuracy: 0.9111111
Epoch:56, Time:1ms, TrainError:0.08327988, TrainErrorChange:-7.62634E-4, ValidationError:0.23715357, Accuracy: 0.9111111
Epoch:57, Time:0ms, TrainError:0.08255246, TrainErrorChange:-7.274151E-4, ValidationError:0.23753841, Accuracy: 0.9111111
Epoch:58, Time:1ms, TrainError:0.08185804, TrainErrorChange:-6.944239E-4, ValidationError:0.23791751, Accuracy: 0.9111111
Epoch:59, Time:0ms, TrainError:0.08119436, TrainErrorChange:-6.6367537E-4, ValidationError:0.2382899, Accuracy: 0.9111111
Epoch:60, Time:1ms, TrainError:0.080559626, TrainErrorChange:-6.347373E-4, ValidationError:0.23865484, Accuracy: 0.9111111
Epoch:61, Time:0ms, TrainError:0.0799519, TrainErrorChange:-6.0772896E-4, ValidationError:0.239011, Accuracy: 0.9111111
Epoch:62, Time:1ms, TrainError:0.07936944, TrainErrorChange:-5.824566E-4, ValidationError:0.23935758, Accuracy: 0.9111111
Epoch:63, Time:0ms, TrainError:0.07881065, TrainErrorChange:-5.5879354E-4, ValidationError:0.23969434, Accuracy: 0.9111111
Epoch:64, Time:1ms, TrainError:0.078274116, TrainErrorChange:-5.365312E-4, ValidationError:0.2400194, Accuracy: 0.9111111
Epoch:65, Time:1ms, TrainError:0.07775825, TrainErrorChange:-5.158633E-4, ValidationError:0.2403327, Accuracy: 0.9111111
Epoch:66, Time:0ms, TrainError:0.07726193, TrainErrorChange:-4.963204E-4, ValidationError:0.24063343, Accuracy: 0.9111111
