Epoch:1, Time:176ms, TotalError:0.96227694, ErrorChange:0.96227694
Epoch:2, Time:6ms, TotalError:0.536155, ErrorChange:-0.42612195
Epoch:3, Time:3ms, TotalError:0.4561858, ErrorChange:-0.0799692
Epoch:4, Time:16ms, TotalError:0.40046176, ErrorChange:-0.055724025
Epoch:5, Time:2ms, TotalError:0.35243577, ErrorChange:-0.048025995
Epoch:6, Time:3ms, TotalError:0.32910788, ErrorChange:-0.023327887
Epoch:7, Time:3ms, TotalError:0.31589407, ErrorChange:-0.013213813
Epoch:8, Time:3ms, TotalError:0.30788076, ErrorChange:-0.008013308
Epoch:9, Time:3ms, TotalError:0.2983862, ErrorChange:-0.009494573
Epoch:10, Time:3ms, TotalError:0.25754943, ErrorChange:-0.04083675
Epoch:11, Time:2ms, TotalError:0.30608845, ErrorChange:0.048539013
Epoch:12, Time:2ms, TotalError:0.28888968, ErrorChange:-0.017198771
Epoch:13, Time:2ms, TotalError:0.19992407, ErrorChange:-0.08896561
Epoch:14, Time:3ms, TotalError:0.25777102, ErrorChange:0.05784695
Epoch:15, Time:2ms, TotalError:0.13423224, ErrorChange:-0.12353878
Epoch:16, Time:3ms, TotalError:0.12487981, ErrorChange:-0.009352431
Epoch:17, Time:2ms, TotalError:0.20612538, ErrorChange:0.08124557
Epoch:18, Time:2ms, TotalError:0.15540984, ErrorChange:-0.050715536
Epoch:19, Time:2ms, TotalError:0.16884527, ErrorChange:0.013435423
Epoch:20, Time:2ms, TotalError:0.13402809, ErrorChange:-0.034817174
Epoch:21, Time:1ms, TotalError:0.15136011, ErrorChange:0.017332017
Epoch:22, Time:1ms, TotalError:0.1694578, ErrorChange:0.018097684
Epoch:23, Time:1ms, TotalError:0.17934896, ErrorChange:0.009891167
Epoch:24, Time:1ms, TotalError:0.17716706, ErrorChange:-0.0021819025
Epoch:25, Time:2ms, TotalError:0.13757783, ErrorChange:-0.039589226
Epoch:26, Time:2ms, TotalError:0.22577713, ErrorChange:0.0881993
Epoch:27, Time:1ms, TotalError:0.211521, ErrorChange:-0.014256135
Epoch:28, Time:2ms, TotalError:0.20241785, ErrorChange:-0.009103149
Epoch:29, Time:2ms, TotalError:0.2161779, ErrorChange:0.013760045
Epoch:30, Time:3ms, TotalError:0.22053316, ErrorChange:0.0043552667
Epoch:31, Time:3ms, TotalError:0.23626156, ErrorChange:0.0157284
Epoch:32, Time:2ms, TotalError:0.24053435, ErrorChange:0.0042727888
Epoch:33, Time:2ms, TotalError:0.2428446, ErrorChange:0.0023102462
Epoch:34, Time:2ms, TotalError:0.2430492, ErrorChange:2.0460784E-4
