------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:49, Time:1ms, TrainError:0.15533714, TrainErrorChange:-0.12584914, ValidationError:0.30708, Accuracy: 0.9111111
Epoch:50, Time:1ms, TrainError:0.13062471, TrainErrorChange:-0.024712428, ValidationError:0.3073259, Accuracy: 0.9111111
Epoch:51, Time:1ms, TrainError:0.19486442, TrainErrorChange:0.06423971, ValidationError:0.48956716, Accuracy: 0.9111111
Epoch:52, Time:1ms, TrainError:0.19881439, TrainErrorChange:0.00394997, ValidationError:0.14645483, Accuracy: 0.9111111
Epoch:53, Time:1ms, TrainError:0.20287278, TrainErrorChange:0.004058391, ValidationError:0.33982277, Accuracy: 0.9111111
Epoch:54, Time:1ms, TrainError:0.17099404, TrainErrorChange:-0.03187874, ValidationError:0.18975721, Accuracy: 0.9111111
Epoch:55, Time:0ms, TrainError:0.13730955, TrainErrorChange:-0.033684492, ValidationError:0.29180282, Accuracy: 0.9111111
Epoch:56, Time:0ms, TrainError:0.18230514, TrainErrorChange:0.04499559, ValidationError:0.27274022, Accuracy: 0.9111111
Epoch:57, Time:0ms, TrainError:0.14738046, TrainErrorChange:-0.034924686, ValidationError:0.29594845, Accuracy: 0.9111111
Epoch:58, Time:0ms, TrainError:0.14093153, TrainErrorChange:-0.0064489245, ValidationError:0.2910011, Accuracy: 0.9111111
Epoch:59, Time:0ms, TrainError:0.15186639, TrainErrorChange:0.0109348595, ValidationError:0.28584138, Accuracy: 0.9111111
Epoch:60, Time:0ms, TrainError:0.1434431, TrainErrorChange:-0.008423299, ValidationError:0.276528, Accuracy: 0.9111111
Epoch:61, Time:1ms, TrainError:0.14391504, TrainErrorChange:4.7194958E-4, ValidationError:0.2800009, Accuracy: 0.9111111
Epoch:62, Time:1ms, TrainError:0.1267616, TrainErrorChange:-0.017153442, ValidationError:0.2461071, Accuracy: 0.9111111
Epoch:63, Time:1ms, TrainError:0.13845566, TrainErrorChange:0.011694059, ValidationError:0.35936955, Accuracy: 0.9111111
