------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:51, Time:1ms, TrainError:0.11885031, TestError:0.20472664, TrainErrorChange:0.11885031, Accuracy: 0.9111111
Epoch:52, Time:0ms, TrainError:0.1173319, TestError:0.20450947, TrainErrorChange:0.1173319, Accuracy: 0.9111111
Epoch:53, Time:0ms, TrainError:0.11584176, TestError:0.20421039, TrainErrorChange:0.11584176, Accuracy: 0.9111111
Epoch:54, Time:1ms, TrainError:0.114379585, TestError:0.20383343, TrainErrorChange:0.114379585, Accuracy: 0.9111111
Epoch:55, Time:0ms, TrainError:0.11294556, TestError:0.20338322, TrainErrorChange:0.11294556, Accuracy: 0.9111111
Epoch:56, Time:1ms, TrainError:0.111539744, TestError:0.20286492, TrainErrorChange:0.111539744, Accuracy: 0.9111111
Epoch:57, Time:0ms, TrainError:0.110162176, TestError:0.20228352, TrainErrorChange:0.110162176, Accuracy: 0.9111111
Epoch:58, Time:1ms, TrainError:0.108812734, TestError:0.20164427, TrainErrorChange:0.108812734, Accuracy: 0.9111111
Epoch:59, Time:0ms, TrainError:0.10749174, TestError:0.20095316, TrainErrorChange:0.10749174, Accuracy: 0.9111111
Epoch:60, Time:1ms, TrainError:0.10619931, TestError:0.20021385, TrainErrorChange:0.10619931, Accuracy: 0.9111111
Epoch:61, Time:1ms, TrainError:0.10493502, TestError:0.19943269, TrainErrorChange:0.10493502, Accuracy: 0.9111111
Epoch:62, Time:0ms, TrainError:0.10369908, TestError:0.19861454, TrainErrorChange:0.10369908, Accuracy: 0.9111111
Epoch:63, Time:1ms, TrainError:0.102491476, TestError:0.19776498, TrainErrorChange:0.102491476, Accuracy: 0.9111111
Epoch:64, Time:0ms, TrainError:0.10131184, TestError:0.19688648, TrainErrorChange:0.10131184, Accuracy: 0.9111111
Epoch:65, Time:0ms, TrainError:0.100159876, TestError:0.19598624, TrainErrorChange:0.100159876, Accuracy: 0.9111111
Epoch:66, Time:1ms, TrainError:0.09903562, TestError:0.19506733, TrainErrorChange:0.09903562, Accuracy: 0.9111111
Epoch:67, Time:0ms, TrainError:0.09793849, TestError:0.19413485, TrainErrorChange:0.09793849, Accuracy: 0.9111111
Epoch:68, Time:0ms, TrainError:0.09686812, TestError:0.19319215, TrainErrorChange:0.09686812, Accuracy: 0.9111111
Epoch:69, Time:0ms, TrainError:0.095824346, TestError:0.19224331, TrainErrorChange:0.095824346, Accuracy: 0.9111111
Epoch:70, Time:0ms, TrainError:0.09480627, TestError:0.19129184, TrainErrorChange:0.09480627, Accuracy: 0.9111111
Epoch:71, Time:0ms, TrainError:0.09381367, TestError:0.19034138, TrainErrorChange:0.09381367, Accuracy: 0.9111111
Epoch:72, Time:0ms, TrainError:0.092845924, TestError:0.18939513, TrainErrorChange:0.092845924, Accuracy: 0.9111111
Epoch:73, Time:1ms, TrainError:0.09190253, TestError:0.1884563, TrainErrorChange:0.09190253, Accuracy: 0.9111111
Epoch:74, Time:0ms, TrainError:0.090982914, TestError:0.18752712, TrainErrorChange:0.090982914, Accuracy: 0.9111111
