Iteration:80, Time:2ms, TotalError:0.1660662, ErrorChange:0.112679094
Iteration:81, Time:2ms, TotalError:0.054724053, ErrorChange:-0.11134215
Iteration:82, Time:2ms, TotalError:0.026260281, ErrorChange:-0.028463772
Iteration:83, Time:1ms, TotalError:0.03921996, ErrorChange:0.01295968
Iteration:84, Time:1ms, TotalError:0.020379161, ErrorChange:-0.0188408
Iteration:85, Time:2ms, TotalError:0.0503906, ErrorChange:0.03001144
Iteration:86, Time:1ms, TotalError:0.021299124, ErrorChange:-0.029091477
Iteration:87, Time:1ms, TotalError:0.060225416, ErrorChange:0.038926292
Iteration:88, Time:2ms, TotalError:0.057589017, ErrorChange:-0.0026363991
Iteration:89, Time:1ms, TotalError:0.02140708, ErrorChange:-0.036181934
Iteration:90, Time:1ms, TotalError:0.05203522, ErrorChange:0.03062814
Iteration:91, Time:2ms, TotalError:0.2198504, ErrorChange:0.16781518
Iteration:92, Time:1ms, TotalError:0.06579143, ErrorChange:-0.15405898
Iteration:93, Time:2ms, TotalError:0.04408129, ErrorChange:-0.021710139
Iteration:94, Time:1ms, TotalError:0.044723283, ErrorChange:6.419942E-4
Iteration:95, Time:1ms, TotalError:0.03753321, ErrorChange:-0.007190075
Iteration:96, Time:1ms, TotalError:0.16236866, ErrorChange:0.12483545
Iteration:97, Time:1ms, TotalError:0.053320434, ErrorChange:-0.10904822
Iteration:98, Time:1ms, TotalError:0.02296071, ErrorChange:-0.030359725
Iteration:99, Time:1ms, TotalError:0.03981262, ErrorChange:0.016851911
Iteration:100, Time:1ms, TotalError:0.05704124, ErrorChange:0.017228618
Iteration:101, Time:1ms, TotalError:0.030834157, ErrorChange:-0.026207082
Iteration:102, Time:1ms, TotalError:0.036180828, ErrorChange:0.0053466707
Iteration:103, Time:2ms, TotalError:0.0437523, ErrorChange:0.0075714737
Iteration:104, Time:1ms, TotalError:0.05710097, ErrorChange:0.013348669
Iteration:105, Time:1ms, TotalError:0.0649888, ErrorChange:0.007887829
Iteration:106, Time:1ms, TotalError:0.04273115, ErrorChange:-0.022257648
Iteration:107, Time:1ms, TotalError:0.025370816, ErrorChange:-0.017360335
Iteration:108, Time:1ms, TotalError:0.020256372, ErrorChange:-0.0051144436
Iteration:109, Time:2ms, TotalError:0.14869036, ErrorChange:0.12843399
Iteration:110, Time:1ms, TotalError:0.196965, ErrorChange:0.048274636
Iteration:111, Time:1ms, TotalError:0.043457374, ErrorChange:-0.15350762
Iteration:112, Time:1ms, TotalError:0.039747335, ErrorChange:-0.003710039
Iteration:113, Time:2ms, TotalError:0.08518739, ErrorChange:0.045440055
Iteration:114, Time:1ms, TotalError:0.023891313, ErrorChange:-0.061296076
Iteration:115, Time:1ms, TotalError:0.01766089, ErrorChange:-0.006230423
Total Training Time: 393ms
