[INFO] Scanning for projects...
[INFO] 
[INFO] --------------------< deepnetts:deepnetts-examples >--------------------
[INFO] Building deepnetts-examples 1.1-SNAPSHOT
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:3.0.0:java (default-cli) @ deepnetts-examples ---
------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:57, Time:0ms, TrainError:0.45891267, TrainErrorChange:0.45891267, Accuracy: 0.8344827
Epoch:58, Time:0ms, TrainError:0.45774436, TrainErrorChange:0.45774436, Accuracy: 0.8344827
Epoch:59, Time:0ms, TrainError:0.4566021, TrainErrorChange:0.4566021, Accuracy: 0.8344827
Epoch:60, Time:0ms, TrainError:0.45548508, TrainErrorChange:0.45548508, Accuracy: 0.8344827
Epoch:61, Time:1ms, TrainError:0.4543921, TrainErrorChange:0.4543921, Accuracy: 0.8344827
Epoch:62, Time:1ms, TrainError:0.45332235, TrainErrorChange:0.45332235, Accuracy: 0.8413793
Epoch:63, Time:0ms, TrainError:0.45227492, TrainErrorChange:0.45227492, Accuracy: 0.8413793
Epoch:64, Time:0ms, TrainError:0.45124942, TrainErrorChange:0.45124942, Accuracy: 0.8413793
Epoch:65, Time:0ms, TrainError:0.45024446, TrainErrorChange:0.45024446, Accuracy: 0.8413793
Epoch:66, Time:1ms, TrainError:0.44925973, TrainErrorChange:0.44925973, Accuracy: 0.8413793
Epoch:67, Time:1ms, TrainError:0.44829458, TrainErrorChange:0.44829458, Accuracy: 0.8413793
Epoch:68, Time:0ms, TrainError:0.44734818, TrainErrorChange:0.44734818, Accuracy: 0.8413793
Epoch:69, Time:0ms, TrainError:0.44641992, TrainErrorChange:0.44641992, Accuracy: 0.8413793
Epoch:70, Time:0ms, TrainError:0.44550955, TrainErrorChange:0.44550955, Accuracy: 0.8413793
Epoch:71, Time:0ms, TrainError:0.4446159, TrainErrorChange:0.4446159, Accuracy: 0.8413793
Epoch:72, Time:0ms, TrainError:0.4437388, TrainErrorChange:0.4437388, Accuracy: 0.8413793
Epoch:73, Time:0ms, TrainError:0.44287768, TrainErrorChange:0.44287768, Accuracy: 0.8413793
Epoch:74, Time:0ms, TrainError:0.442032, TrainErrorChange:0.442032, Accuracy: 0.8413793
Epoch:75, Time:0ms, TrainError:0.4412014, TrainErrorChange:0.4412014, Accuracy: 0.8413793
Epoch:76, Time:0ms, TrainError:0.44038528, TrainErrorChange:0.44038528, Accuracy: 0.8413793
Epoch:77, Time:1ms, TrainError:0.43958315, TrainErrorChange:0.43958315, Accuracy: 0.8413793
Epoch:78, Time:0ms, TrainError:0.43879467, TrainErrorChange:0.43879467, Accuracy: 0.8413793
Epoch:79, Time:0ms, TrainError:0.4380197, TrainErrorChange:0.4380197, Accuracy: 0.8413793
Epoch:80, Time:0ms, TrainError:0.4372572, TrainErrorChange:0.4372572, Accuracy: 0.8413793
Epoch:81, Time:1ms, TrainError:0.4365076, TrainErrorChange:0.4365076, Accuracy: 0.8413793
Epoch:82, Time:0ms, TrainError:0.43577003, TrainErrorChange:0.43577003, Accuracy: 0.8413793
Epoch:83, Time:0ms, TrainError:0.43504423, TrainErrorChange:0.43504423, Accuracy: 0.8413793
Epoch:84, Time:0ms, TrainError:0.43432987, TrainErrorChange:0.43432987, Accuracy: 0.8413793
Epoch:85, Time:0ms, TrainError:0.43362665, TrainErrorChange:0.43362665, Accuracy: 0.8413793
Epoch:86, Time:0ms, TrainError:0.4329345, TrainErrorChange:0.4329345, Accuracy: 0.8413793
Epoch:87, Time:0ms, TrainError:0.43225253, TrainErrorChange:0.43225253, Accuracy: 0.8413793
Epoch:88, Time:0ms, TrainError:0.43158102, TrainErrorChange:0.43158102, Accuracy: 0.8413793
Epoch:89, Time:1ms, TrainError:0.43091953, TrainErrorChange:0.43091953, Accuracy: 0.8413793
Epoch:90, Time:0ms, TrainError:0.43026772, TrainErrorChange:0.43026772, Accuracy: 0.8413793
Epoch:91, Time:0ms, TrainError:0.42962545, TrainErrorChange:0.42962545, Accuracy: 0.8413793
Epoch:92, Time:0ms, TrainError:0.42899236, TrainErrorChange:0.42899236, Accuracy: 0.8413793
Epoch:93, Time:1ms, TrainError:0.4283684, TrainErrorChange:0.4283684, Accuracy: 0.8413793
Epoch:94, Time:0ms, TrainError:0.42775324, TrainErrorChange:0.42775324, Accuracy: 0.8413793
Epoch:95, Time:0ms, TrainError:0.42714655, TrainErrorChange:0.42714655, Accuracy: 0.8413793
Epoch:96, Time:1ms, TrainError:0.4265481, TrainErrorChange:0.4265481, Accuracy: 0.8413793
Epoch:97, Time:0ms, TrainError:0.4259579, TrainErrorChange:0.4259579, Accuracy: 0.8413793
Epoch:98, Time:0ms, TrainError:0.42537558, TrainErrorChange:0.42537558, Accuracy: 0.8413793
Epoch:99, Time:0ms, TrainError:0.42480114, TrainErrorChange:0.42480114, Accuracy: 0.8344827
Epoch:100, Time:0ms, TrainError:0.4242342, TrainErrorChange:0.4242342, Accuracy: 0.8344827
Epoch:101, Time:0ms, TrainError:0.4236746, TrainErrorChange:0.4236746, Accuracy: 0.8344827
Epoch:102, Time:1ms, TrainError:0.4231223, TrainErrorChange:0.4231223, Accuracy: 0.8413793
Epoch:103, Time:0ms, TrainError:0.42257702, TrainErrorChange:0.42257702, Accuracy: 0.8413793
Epoch:104, Time:1ms, TrainError:0.42203856, TrainErrorChange:0.42203856, Accuracy: 0.8413793
Epoch:105, Time:0ms, TrainError:0.42150697, TrainErrorChange:0.42150697, Accuracy: 0.8413793
Epoch:106, Time:0ms, TrainError:0.42098203, TrainErrorChange:0.42098203, Accuracy: 0.8413793
Epoch:107, Time:1ms, TrainError:0.42046323, TrainErrorChange:0.42046323, Accuracy: 0.8413793
Epoch:108, Time:0ms, TrainError:0.41995093, TrainErrorChange:0.41995093, Accuracy: 0.8413793
Epoch:109, Time:0ms, TrainError:0.41944465, TrainErrorChange:0.41944465, Accuracy: 0.8413793
Epoch:110, Time:0ms, TrainError:0.4189445, TrainErrorChange:0.4189445, Accuracy: 0.84827584
Epoch:111, Time:0ms, TrainError:0.41845018, TrainErrorChange:0.41845018, Accuracy: 0.84827584
Epoch:112, Time:0ms, TrainError:0.4179616, TrainErrorChange:0.4179616, Accuracy: 0.84827584
Epoch:113, Time:0ms, TrainError:0.41747886, TrainErrorChange:0.41747886, Accuracy: 0.84827584
Epoch:114, Time:0ms, TrainError:0.41700143, TrainErrorChange:0.41700143, Accuracy: 0.84827584
Epoch:115, Time:0ms, TrainError:0.41652957, TrainErrorChange:0.41652957, Accuracy: 0.84827584
Epoch:116, Time:0ms, TrainError:0.41606292, TrainErrorChange:0.41606292, Accuracy: 0.8551724
Epoch:117, Time:0ms, TrainError:0.4156013, TrainErrorChange:0.4156013, Accuracy: 0.8551724
Epoch:118, Time:1ms, TrainError:0.41514516, TrainErrorChange:0.41514516, Accuracy: 0.8551724
Epoch:119, Time:0ms, TrainError:0.41469356, TrainErrorChange:0.41469356, Accuracy: 0.8551724
Epoch:120, Time:0ms, TrainError:0.41424713, TrainErrorChange:0.41424713, Accuracy: 0.8551724
Epoch:121, Time:1ms, TrainError:0.41380537, TrainErrorChange:0.41380537, Accuracy: 0.8551724
Epoch:122, Time:1ms, TrainError:0.4133684, TrainErrorChange:0.4133684, Accuracy: 0.8551724
Epoch:123, Time:1ms, TrainError:0.4129358, TrainErrorChange:0.4129358, Accuracy: 0.8551724
Epoch:124, Time:0ms, TrainError:0.4125081, TrainErrorChange:0.4125081, Accuracy: 0.8551724
Epoch:125, Time:1ms, TrainError:0.41208458, TrainErrorChange:0.41208458, Accuracy: 0.8551724
Epoch:126, Time:0ms, TrainError:0.4116654, TrainErrorChange:0.4116654, Accuracy: 0.8551724
Epoch:127, Time:0ms, TrainError:0.4112505, TrainErrorChange:0.4112505, Accuracy: 0.8551724
Epoch:128, Time:1ms, TrainError:0.41083983, TrainErrorChange:0.41083983, Accuracy: 0.8551724
Epoch:129, Time:0ms, TrainError:0.41043317, TrainErrorChange:0.41043317, Accuracy: 0.8551724
Epoch:130, Time:0ms, TrainError:0.4100305, TrainErrorChange:0.4100305, Accuracy: 0.8551724
